Session,Timestamp,Count (95th),Biomass (g),Duration (s),Method
1,2025-11-22 14:16:30,15,0.00,0.0,statistical
2,2025-11-22 14:19:36,16,0.00,30.0,statistical
3,2025-11-22 14:27:30,16,0.00,29.9,statistical
4,2025-11-22 14:30:05,20,0.00,29.9,statistical
5,2025-11-22 14:36:39,19,888.49,30.0,statistical
6,2025-11-22 16:26:01,11,499.13,30.0,statistical
7,2025-11-22 16:34:44,15,633.75,29.8,statistical
8,2025-11-22 16:43:51,18,816.07,29.8,statistical
9,2025-11-22 16:47:32,14,229.44,29.7,statistical
10,2025-11-22 16:48:57,19,793.07,29.5,statistical
11,2025-11-22 16:50:44,18,830.28,29.5,statistical
12,2025-11-22 17:16:05,21,909.23,29.8,statistical
13,2025-11-22 17:17:09,23,961.52,29.8,statistical
14,2025-11-22 17:19:34,25,1042.70,29.8,statistical
15,2025-11-22 18:37:36,23,971.68,29.7,statistical
16,2025-11-22 18:39:29,16,286.93,29.9,statistical
17,2025-11-22 18:40:46,19,323.19,29.2,statistical
18,2025-11-22 19:58:31,25,1103.73,51.5,statistical
19,2025-11-22 20:23:51,28,1168.07,89.9,statistical
20,2025-11-22 21:02:49,21,336.66,89.7,statistical
21,2025-11-22 23:21:01,17,0.00,44.9,statistical
22,2025-11-22 23:26:35,14,0.00,44.9,statistical
23,2025-11-22 23:28:58,28,0.00,44.8,statistical
24,2025-11-22 23:41:02,28,0.00,44.8,statistical
25,2025-11-22 23:49:11,28,1127.34,45.0,statistical
26,2025-11-22 23:58:21,28,105.06,44.9,statistical
27,2025-11-23 00:37:41,29,103.74,44.7,statistical
28,2025-11-23 00:38:44,14,29.89,47.6,statistical
29,2025-11-23 00:42:30,14,29.78,48.0,statistical
30,2025-11-23 00:51:17,14,29.74,47.7,statistical
31,2025-11-23 00:56:16,28,103.16,44.7,statistical
